"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.01.2024","7,196","7,1931","7,1976","7,1897","---","0,08%"
"16.01.2024","7,1902","7,1789","7,1943","7,1757","---","0,27%"
"15.01.2024","7,1711","7,1802","7,1803","7,1662","---","0,06%"
"12.01.2024","7,1665","7,1663","7,1699","7,1586","---","-0,01%"
"11.01.2024","7,167","7,1685","7,1693","7,1551","---","-0,06%"
"10.01.2024","7,1711","7,1743","7,1771","7,1673","---","0,04%"
"09.01.2024","7,1684","7,1568","7,1687","7,1563","---","0,2%"
"08.01.2024","7,154","7,1506","7,164","7,1453","---","0,2%"
"05.01.2024","7,1395","7,1698","7,1709","7,1389","---","-0,27%"
"04.01.2024","7,1589","7,155","7,1603","7,1468","---","0,13%"
"03.01.2024","7,1497","7,146","7,1536","7,1403","---","0,1%"
"02.01.2024","7,1426","7,1087","7,1446","7,1085","---","0,63%"
"01.01.2024","7,0978","7,0978","7,0978","7,0978","---","0%"
"29.12.2023","7,0978","7,088","7,1135","7,088","---","-0,14%"
"28.12.2023","7,108","7,1311","7,1311","7,0988","---","-0,46%"
"27.12.2023","7,1405","7,1456","7,1498","7,141","---","-0,04%"
"26.12.2023","7,1432","7,1363","7,1469","7,1363","---","0,1%"
"25.12.2023","7,1361","7,134","7,1388","7,1305","---","0,06%"
"22.12.2023","7,1315","7,1431","7,1509","7,124","---","-0,09%"
"21.12.2023","7,1381","7,1391","7,1494","7,1387","---","0,04%"
"20.12.2023","7,1355","7,1252","7,1415","7,1252","---","0,1%"
"19.12.2023","7,1287","7,1362","7,1473","7,1294","---","-0,07%"
"18.12.2023","7,1335","7,1253","7,1361","7,1252","---","0,22%"
"15.12.2023","7,1179","7,1201","7,1259","7,0978","---","0,13%"
"14.12.2023","7,1088","7,1339","7,1385","7,1041","---","-0,89%"
"13.12.2023","7,1725","7,1796","7,1859","7,1729","---","-0,04%"
"12.12.2023","7,1755","7,1741","7,1787","7,1666","---","0%"
"11.12.2023","7,1755","7,1763","7,1883","7,176","---","0,15%"
"08.12.2023","7,1645","7,1512","7,1672","7,1505","---","0,2%"
"07.12.2023","7,1505","7,16","7,1617","7,1482","---","-0,12%"
"06.12.2023","7,159","7,1564","7,1597","7,1546","---","0,18%"
"05.12.2023","7,1463","7,1416","7,1497","7,1413","---","0,05%"
"04.12.2023","7,1424","7,1275","7,143","7,1275","---","0,05%"
"01.12.2023","7,1386","7,135","7,1472","7,128","---","0,04%"
"30.11.2023","7,136","7,1372","7,1398","7,1189","---","0,08%"
"29.11.2023","7,13","7,1192","7,1309","7,1184","---","-0,23%"
"28.11.2023","7,1463","7,1532","7,1544","7,1463","---","-0,09%"
"27.11.2023","7,1528","7,1426","7,1572","7,142","---","0,06%"
"24.11.2023","7,1488","7,143","7,1554","7,1427","---","0,05%"
"23.11.2023","7,1455","7,1522","7,154","7,1365","---","-0,13%"
"22.11.2023","7,155","7,1363","7,1565","7,1363","---","0,28%"
